bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",0,15.1341,15.1210,0.0474842,0.000219795,0.0491234,0.000231642,0.0504385,0.000243835,0.0511217,0.000256016,0.0513914,0.000268610,56430.04756830000,0.00171051,0.00145638,4.45912,2.04136,1.99806,8424.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",1,15.1351,15.1341,0.0475670,0.000211615,0.0492604,0.000221600,0.0506138,0.000231713,0.0513417,0.000241610,0.0516348,0.000251687,56430.04759107922,0.00169352,0.00122875,4.40555,2.03868,1.96489,8454.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",2,15.1356,15.1350,0.0478239,0.000215232,0.0495233,0.000225961,0.0508653,0.000236868,0.0515727,0.000247634,0.0518563,0.000258683,56430.04761385845,0.00187505,0.00131942,4.55136,2.04108,2.01022,8357.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",3,15.1353,15.1389,0.0479693,0.000215148,0.0496664,0.000225785,0.0510077,0.000236596,0.0517159,0.000247262,0.0519919,0.000258190,56430.04763663767,0.00198464,0.00131035,4.42905,2.00831,1.98901,8487.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",4,15.1432,15.1289,0.0479948,0.000214283,0.0496625,0.000224657,0.0509747,0.000235188,0.0516773,0.000245588,0.0519613,0.000256247,56430.04765941689,0.00176457,0.00128484,4.38444,1.99798,1.97487,8511.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",5,15.1395,15.1279,0.0480354,0.000209943,0.0496921,0.000219242,0.0510026,0.000228605,0.0517025,0.000237710,0.0519873,0.000246960,56430.04768219612,0.00178462,0.00115459,4.34812,2.02019,1.98082,8588.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",6,15.1515,15.1198,0.0476957,0.000217477,0.0493100,0.000228652,0.0505588,0.000240057,0.0512152,0.000251454,0.0514956,0.000263259,56430.04770497535,0.00192291,0.00138671,4.31461,2.01862,1.98259,8565.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",7,15.1476,15.1210,0.0479917,0.000218652,0.0496612,0.000230048,0.0509677,0.000241689,0.0516552,0.000253294,0.0519216,0.000265260,56430.04772775457,0.00189794,0.00140497,4.36658,2.02784,1.95558,8548.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",8,15.1443,15.1220,0.0479463,0.000219973,0.0496541,0.000231755,0.0509851,0.000243786,0.0516615,0.000255761,0.0519272,0.000268144,56430.04775053379,0.00180663,0.00144153,4.37036,2.01732,1.99161,8550.56
"ch2/bcd/SPITZER_I2_46469888_0000_0000_1_bcd.fits",9,15.1431,15.1189,0.0477183,0.000216074,0.0493656,0.000226962,0.0506684,0.000238076,0.0513465,0.000249091,0.0516050,0.000260419,56430.04777331302,0.00190185,0.00134787,4.36000,2.01115,1.96779,8504.56
