bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",0,15.0898,15.1460,0.0473312,0.000217174,0.0489651,0.000228490,0.0503290,0.000240186,0.0510518,0.000251799,0.0513269,0.000263728,56270.47523150000,0.00138896,0.00139359,4.65102,2.04803,1.99301,8176.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",1,15.0897,15.1503,0.0477820,0.000223494,0.0494054,0.000236041,0.0507507,0.000249076,0.0514637,0.000262177,0.0517364,0.000275730,56270.47525427923,0.00176775,0.00153624,4.62306,2.04411,2.00714,8263.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",2,15.0938,15.1467,0.0480263,0.000213899,0.0496868,0.000224161,0.0510529,0.000234666,0.0517616,0.000244954,0.0520280,0.000255460,56270.47527705845,0.00166218,0.00127194,4.63196,2.04609,1.98801,8278.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",3,15.1067,15.1463,0.0477083,0.000219692,0.0493647,0.000231439,0.0507127,0.000243543,0.0514189,0.000255609,0.0516760,0.000268028,56270.47529983767,0.00167610,0.00144430,4.61865,2.04970,1.98219,8236.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",4,15.0921,15.1444,0.0477798,0.000222440,0.0494342,0.000234795,0.0508098,0.000247610,0.0515225,0.000260422,0.0517841,0.000273650,56270.47532261690,0.00178318,0.00151012,4.52300,2.01883,1.97909,8350.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",5,15.0919,15.1394,0.0481059,0.000216393,0.0497480,0.000227171,0.0511222,0.000238288,0.0518371,0.000249246,0.0521055,0.000260471,56270.47534539612,0.00166048,0.00133851,4.48988,2.01875,1.97966,8432.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",6,15.0960,15.1479,0.0476547,0.000221021,0.0492647,0.000233027,0.0505958,0.000245470,0.0513065,0.000257938,0.0515896,0.000270818,56270.47536817535,0.00174325,0.00148060,4.46909,2.01833,1.97681,8384.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",7,15.1013,15.1320,0.0482184,0.000208980,0.0498506,0.000217913,0.0512060,0.000226987,0.0519155,0.000235705,0.0521840,0.000244490,56270.47539095457,0.00144868,0.00111497,4.42805,2.00472,1.96749,8486.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",8,15.0986,15.1284,0.0479861,0.000222154,0.0496112,0.000234292,0.0509733,0.000246901,0.0516853,0.000259507,0.0519522,0.000272515,56270.47541373379,0.00180512,0.00149569,4.46533,2.01502,1.99924,8456.56
"ch2/bcd/SPITZER_I2_46466816_0000_0000_1_bcd.fits",9,15.1089,15.1361,0.0479611,0.000211796,0.0496275,0.000221588,0.0510016,0.000231573,0.0517248,0.000241287,0.0519985,0.000251147,56270.47543651302,0.00163754,0.00121489,4.43360,2.02458,1.97460,8482.56
