bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",0,15.1039,15.1638,0.0475697,0.000223389,0.0492466,0.000236076,0.0506047,0.000249179,0.0513291,0.000262343,0.0516111,0.000275949,56270.49425980000,0.00138680,0.00154318,4.68867,2.02061,2.00678,8150.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",1,15.1013,15.1592,0.0475167,0.000214285,0.0492066,0.000224916,0.0505776,0.000235770,0.0513089,0.000246457,0.0515885,0.000257368,56270.49428257922,0.00179411,0.00130784,4.70980,2.05438,2.00026,8142.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",2,15.0961,15.1562,0.0475073,0.000211767,0.0491696,0.000221767,0.0505352,0.000231972,0.0512549,0.000241936,0.0515346,0.000252080,56270.49430535845,0.00159120,0.00123615,4.65818,2.03716,2.00070,8159.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",3,15.0984,15.1605,0.0481027,0.000220515,0.0497916,0.000232322,0.0511595,0.000244468,0.0518649,0.000256552,0.0521341,0.000269012,56270.49432813767,0.00170154,0.00144899,4.66700,2.01796,1.99659,8224.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",4,15.0966,15.1511,0.0477032,0.000211676,0.0493252,0.000221490,0.0506605,0.000231520,0.0513631,0.000241317,0.0516254,0.000251283,56270.49435091690,0.00171991,0.00122422,4.63481,2.02766,1.97219,8184.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",5,15.0995,15.1514,0.0477728,0.000217063,0.0494311,0.000228174,0.0507801,0.000239582,0.0514893,0.000250887,0.0517523,0.000262486,56270.49437369612,0.00167799,0.00137220,4.68569,2.03096,1.98359,8158.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",6,15.0976,15.1603,0.0476158,0.000212488,0.0493152,0.000222662,0.0507127,0.000233040,0.0514710,0.000243195,0.0517778,0.000253521,56270.49439647535,0.00166127,0.00125217,4.70991,2.06097,2.02003,8158.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",7,15.1040,15.1640,0.0481342,0.000210326,0.0497813,0.000219650,0.0511002,0.000229071,0.0517930,0.000238215,0.0520650,0.000247500,56270.49441925457,0.00150120,0.00116162,4.60237,2.00431,1.97682,8251.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",8,15.0930,15.1533,0.0480095,0.000221089,0.0496607,0.000233018,0.0510160,0.000245347,0.0517233,0.000257654,0.0519835,0.000270343,56270.49444203379,0.00168407,0.00146710,4.57556,2.01020,1.98469,8297.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",9,15.0961,15.1604,0.0479024,0.000214384,0.0495526,0.000224797,0.0509058,0.000235466,0.0516297,0.000245974,0.0518971,0.000256693,56270.49446481302,0.00164391,0.00129205,4.52997,2.01555,1.96168,8321.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",10,15.1044,15.1552,0.0477739,0.000213285,0.0494408,0.000223520,0.0507949,0.000233961,0.0515151,0.000244207,0.0517967,0.000254662,56270.49448759224,0.00160885,0.00126742,4.58735,2.02683,1.98425,8262.56
"ch2/bcd/SPITZER_I2_46469632_0000_0000_1_bcd.fits",11,15.1032,15.1591,0.0476602,0.000219142,0.0493272,0.000230801,0.0506849,0.000242804,0.0514150,0.000254775,0.0516928,0.000267081,56270.49451037147,0.00171174,0.00143208,4.62400,2.05267,1.99127,8225.56
