bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",0,15.1209,15.0965,0.0475344,0.000218598,0.0491339,0.000230084,0.0504697,0.000241984,0.0511799,0.000253849,0.0514627,0.000266077,56264.08687620000,0.00147665,0.00142327,4.21923,2.00339,1.95737,8674.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",1,15.1168,15.1067,0.0480091,0.000222295,0.0496607,0.000234496,0.0510369,0.000247147,0.0517578,0.000259789,0.0520361,0.000272839,56264.08689897923,0.00167364,0.00149832,4.31658,2.03813,1.97638,8657.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",2,15.1064,15.0974,0.0480350,0.000217273,0.0496441,0.000228234,0.0510102,0.000239595,0.0517205,0.000250824,0.0520041,0.000262369,56264.08692175845,0.00177684,0.00136621,4.29069,2.00129,1.97606,8669.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",3,15.1096,15.0957,0.0482553,0.000216974,0.0498436,0.000227729,0.0511826,0.000238865,0.0518776,0.000249874,0.0521479,0.000261188,56264.08694453767,0.00183351,0.00134817,4.30403,2.02724,1.96626,8683.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",4,15.1149,15.1070,0.0481612,0.000217191,0.0497728,0.000228078,0.0511168,0.000239322,0.0518202,0.000250452,0.0520837,0.000261875,56264.08696731690,0.00172595,0.00135833,4.30302,2.00117,1.96198,8648.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",5,15.1106,15.1046,0.0479381,0.000213559,0.0495448,0.000223685,0.0508990,0.000234118,0.0516149,0.000244350,0.0518918,0.000254792,56264.08699009613,0.00172390,0.00126737,4.25174,2.00479,1.97199,8698.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",6,15.1028,15.0954,0.0479796,0.000215530,0.0495380,0.000226026,0.0508688,0.000236917,0.0515682,0.000247673,0.0518504,0.000258718,56264.08701287535,0.00175041,0.00132096,4.29772,2.02180,1.98264,8648.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",7,15.1202,15.0975,0.0479901,0.000221935,0.0495788,0.000233965,0.0508888,0.000246445,0.0515516,0.000258927,0.0517940,0.000271846,56264.08703565457,0.00183946,0.00148999,4.20868,2.00629,1.96949,8756.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",8,15.1144,15.0915,0.0479228,0.000217883,0.0494976,0.000228985,0.0508232,0.000240500,0.0515004,0.000251917,0.0517590,0.000263684,56264.08705843380,0.00189021,0.00138756,4.25043,2.03632,1.97996,8714.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",9,15.1168,15.0991,0.0482676,0.000212429,0.0499194,0.000222201,0.0513011,0.000232208,0.0520151,0.000241924,0.0522829,0.000251795,56264.08708121302,0.00171560,0.00121829,4.22359,2.00079,1.94978,8766.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",10,15.1246,15.0930,0.0480625,0.000215054,0.0497122,0.000225545,0.0510866,0.000236331,0.0518078,0.000246929,0.0520929,0.000257773,56264.08710399225,0.00166705,0.00130386,4.25102,2.02094,1.98588,8742.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",11,15.1120,15.0945,0.0481761,0.000211586,0.0497761,0.000221117,0.0511210,0.000230895,0.0518004,0.000240369,0.0520385,0.000249989,56264.08712677148,0.00161293,0.00119778,4.15013,1.98802,1.94228,8815.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",12,15.1118,15.0955,0.0482108,0.000212752,0.0497985,0.000222526,0.0511324,0.000232578,0.0518276,0.000242399,0.0521071,0.000252432,56264.08714955069,0.00165566,0.00123067,4.19827,2.00373,1.97166,8795.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",13,15.1131,15.0910,0.0482334,0.000223098,0.0498282,0.000235295,0.0511693,0.000247992,0.0518568,0.000260699,0.0521228,0.000273855,56264.08717232992,0.00185240,0.00150945,4.24139,2.01482,1.98718,8778.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",14,15.1186,15.0994,0.0476844,0.000209625,0.0493213,0.000218981,0.0506923,0.000228532,0.0514092,0.000237757,0.0517006,0.000247113,56264.08719510915,0.00166289,0.00116367,4.26879,2.02211,1.97316,8646.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",15,15.1157,15.1042,0.0479274,0.000217730,0.0495706,0.000228900,0.0509508,0.000240450,0.0516763,0.000251882,0.0519571,0.000263619,56264.08721788837,0.00177209,0.00138324,4.25883,2.02966,1.96618,8706.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",16,15.1172,15.1142,0.0482957,0.000211912,0.0499686,0.000221581,0.0513574,0.000231446,0.0520880,0.000241018,0.0523640,0.000250715,56264.08724066759,0.00162728,0.00120145,4.34198,2.00343,1.96416,8626.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",17,15.1376,15.1110,0.0480125,0.000216180,0.0497128,0.000227038,0.0510840,0.000238131,0.0518069,0.000249076,0.0520978,0.000260302,56264.08726344682,0.00183603,0.00133741,4.31501,2.03270,1.97676,8667.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",18,15.1461,15.1057,0.0484364,0.000211413,0.0501127,0.000220901,0.0514493,0.000230480,0.0521540,0.000239791,0.0524241,0.000249238,56264.08728622604,0.00166816,0.00117919,4.26966,2.00876,1.94511,8727.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",19,15.1387,15.0929,0.0477985,0.000208312,0.0494553,0.000217332,0.0507956,0.000226428,0.0514946,0.000235179,0.0517799,0.000244039,56264.08730900527,0.00164466,0.00111626,4.26697,1.99856,1.97098,8640.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",20,15.1473,15.1073,0.0477437,0.000213034,0.0494307,0.000223257,0.0507763,0.000233633,0.0514774,0.000243796,0.0517444,0.000254169,56264.08733178450,0.00167475,0.00126170,4.26141,2.02563,1.97339,8653.56
"ch2/bcd/SPITZER_I2_46469376_0000_0000_1_bcd.fits",21,15.1534,15.1029,0.0476841,0.000216045,0.0493755,0.000227012,0.0506972,0.000238161,0.0513822,0.000249192,0.0516553,0.000260546,56264.08735456372,0.00159976,0.00134863,4.25950,2.01437,1.96324,8625.56
