bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",0,15.1850,15.0828,0.0475992,0.000211232,0.0493564,0.000221214,0.0506599,0.000231129,0.0513194,0.000240794,0.0515781,0.000250684,56264.10589930000,0.00144517,0.00121591,4.28133,2.03168,1.96355,8608.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",1,15.1914,15.0737,0.0475779,0.000215705,0.0493686,0.000226799,0.0506791,0.000237889,0.0513539,0.000248860,0.0516409,0.000260185,56264.10592207922,0.00180291,0.00134416,4.33156,2.04111,1.96242,8554.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",2,15.1945,15.0768,0.0475448,0.000212447,0.0493303,0.000222784,0.0506337,0.000233036,0.0513057,0.000243092,0.0515936,0.000253426,56264.10594485845,0.00167246,0.00125444,4.27683,2.05136,1.97032,8624.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",3,15.1927,15.0756,0.0479241,0.000218123,0.0497223,0.000229629,0.0510377,0.000241173,0.0517072,0.000252631,0.0519864,0.000264485,56264.10596763767,0.00189931,0.00139390,4.29723,2.06994,1.97224,8693.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",4,15.1880,15.0740,0.0477699,0.000219213,0.0495546,0.000231021,0.0508750,0.000242924,0.0515468,0.000254770,0.0518271,0.000267039,56264.10599041689,0.00184809,0.00142926,4.31751,2.07757,1.99229,8645.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",5,15.1840,15.0740,0.0479830,0.000213693,0.0497555,0.000224096,0.0510860,0.000234493,0.0517765,0.000244693,0.0520662,0.000255162,56264.10601319612,0.00170807,0.00126907,4.29644,2.02122,1.96721,8649.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",6,15.1731,15.0757,0.0476940,0.000217961,0.0494502,0.000229477,0.0507940,0.000241146,0.0514710,0.000252703,0.0517275,0.000264622,56264.10603597535,0.00171974,0.00139912,4.19665,2.05054,1.94881,8734.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",7,15.1766,15.0673,0.0481223,0.000216035,0.0498676,0.000226880,0.0511911,0.000237805,0.0518553,0.000248565,0.0521138,0.000259643,56264.10605875457,0.00179200,0.00132840,4.23177,2.01516,1.96086,8738.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",8,15.1824,15.0647,0.0477990,0.000216316,0.0495531,0.000227391,0.0508813,0.000238557,0.0515722,0.000249606,0.0518823,0.000261024,56264.10608153379,0.00180193,0.00135081,4.27768,2.03703,1.99460,8680.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",9,15.1833,15.0722,0.0480643,0.000215929,0.0498045,0.000226768,0.0511110,0.000237670,0.0517827,0.000248443,0.0520633,0.000259553,56264.10610431302,0.00173806,0.00132813,4.20410,2.00969,1.98557,8776.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",10,15.1805,15.0772,0.0481830,0.000212374,0.0499317,0.000222334,0.0512391,0.000232255,0.0519105,0.000241947,0.0521958,0.000251889,56264.10612709224,0.00170404,0.00122044,4.24758,2.04203,1.96577,8752.56
"ch2/bcd/SPITZER_I2_46470400_0000_0000_1_bcd.fits",11,15.1822,15.0674,0.0478265,0.000217596,0.0495772,0.000228950,0.0508798,0.000240392,0.0515375,0.000251742,0.0518015,0.000263474,56264.10614987147,0.00187371,0.00138411,4.18381,2.04998,1.94249,8771.56
