bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",0,15.1716,15.1246,0.0475235,0.000210851,0.0492642,0.000220747,0.0505702,0.000230599,0.0512637,0.000240236,0.0515521,0.000250079,56433.23838060000,0.00157011,0.00120887,4.41458,2.04345,1.97478,8448.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",1,15.1768,15.1167,0.0474050,0.000215195,0.0491519,0.000226182,0.0504588,0.000237225,0.0511565,0.000248182,0.0514572,0.000259470,56433.23840337923,0.00193173,0.00133809,4.46990,2.04724,2.00329,8386.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",2,15.1880,15.1130,0.0478994,0.000212559,0.0496712,0.000222732,0.0509679,0.000232823,0.0516634,0.000242751,0.0519588,0.000252921,56433.23842615845,0.00190945,0.00124038,4.40465,2.03485,1.98939,8520.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",3,15.1756,15.1043,0.0479731,0.000217574,0.0496858,0.000228796,0.0509712,0.000240137,0.0516373,0.000251418,0.0518896,0.000263049,56433.23844893767,0.00205565,0.00137706,4.26033,2.01555,1.96131,8687.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",4,15.1680,15.1058,0.0479550,0.000217920,0.0496793,0.000229249,0.0509943,0.000240730,0.0516795,0.000252143,0.0519626,0.000263927,56433.23847171690,0.00209611,0.00138712,4.34967,2.04041,1.98820,8617.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",5,15.1658,15.1044,0.0478098,0.000220305,0.0495231,0.000232234,0.0508298,0.000244378,0.0515021,0.000256511,0.0517611,0.000269060,56433.23849449612,0.00204837,0.00145584,4.35634,2.02625,1.97536,8552.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",6,15.1664,15.1080,0.0481225,0.000219741,0.0498602,0.000231435,0.0511862,0.000243311,0.0518705,0.000255140,0.0521337,0.000267350,56433.23851727535,0.00207358,0.00142799,4.36228,2.02001,1.98394,8605.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",7,15.1861,15.1132,0.0477300,0.000214413,0.0494785,0.000225067,0.0507533,0.000235696,0.0514385,0.000246239,0.0517121,0.000257063,56433.23854005457,0.00199529,0.00130146,4.36221,2.03623,1.95033,8517.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",8,15.1661,15.0943,0.0477858,0.000217155,0.0494865,0.000228354,0.0507962,0.000239725,0.0514754,0.000251018,0.0517567,0.000262679,56433.23856283379,0.00202580,0.00137360,4.29310,2.01383,1.97579,8629.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",9,15.1846,15.1139,0.0478944,0.000214954,0.0495940,0.000225579,0.0508353,0.000236218,0.0515004,0.000246802,0.0517854,0.000257721,56433.23858561302,0.00201364,0.00130889,4.34039,2.02903,1.96190,8569.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",10,15.1930,15.1022,0.0478249,0.000211685,0.0495808,0.000221660,0.0508365,0.000231496,0.0514869,0.000241148,0.0517479,0.000251041,56433.23860839225,0.00186940,0.00121842,4.31346,2.01900,1.95423,8570.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",11,15.1920,15.0947,0.0477477,0.000221176,0.0494671,0.000233343,0.0507178,0.000245653,0.0513694,0.000258031,0.0516467,0.000270900,56433.23863117147,0.00211204,0.00148069,4.36570,2.04145,1.99640,8561.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",12,15.1931,15.0982,0.0475586,0.000213068,0.0493064,0.000223484,0.0505739,0.000233840,0.0512266,0.000244043,0.0514908,0.000254536,56433.23865395069,0.00196606,0.00127156,4.32596,2.01474,1.95748,8510.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",13,15.1842,15.0985,0.0477968,0.000215449,0.0495305,0.000226295,0.0508181,0.000237187,0.0514967,0.000247990,0.0517832,0.000259128,56433.23867672992,0.00205263,0.00132665,4.31418,2.04576,1.97325,8618.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",14,15.1918,15.0912,0.0474915,0.000216785,0.0492745,0.000228164,0.0505583,0.000239542,0.0512015,0.000250832,0.0514506,0.000262502,56433.23869950914,0.00205985,0.00137671,4.35797,2.04703,1.98068,8518.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",15,15.1884,15.0795,0.0478386,0.000221821,0.0496183,0.000234187,0.0509270,0.000246694,0.0515980,0.000259221,0.0518758,0.000272222,56433.23872228837,0.00204287,0.00149331,4.29813,2.03969,1.99013,8660.56
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",16,15.1844,15.0849,0.0478108,0.000217837,0.0495408,0.000229229,0.0508093,0.000240698,0.0514564,0.000252124,0.0517356,0.000263979,56433.23874506760,0.00218210,0.00139073,4.30807,2.05461,1.98031,8641.56
