bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",0,15.1901,15.0492,0.0470344,0.000216849,0.0488179,0.000228462,0.0501490,0.000240163,0.0508161,0.000251756,0.0510999,0.000263761,56404.51389040000,0.00160086,0.00139796,4.31552,2.04842,1.99039,8540.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",1,15.1713,15.0468,0.0479831,0.000216839,0.0497240,0.000227941,0.0510660,0.000239187,0.0517262,0.000250265,0.0520054,0.000261726,56404.51391317922,0.00171668,0.00135576,4.18834,2.03248,1.95893,8795.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",2,15.1720,15.0313,0.0476127,0.000216447,0.0493283,0.000227590,0.0506360,0.000238871,0.0512509,0.000249975,0.0515107,0.000261507,56404.51393595845,0.00175682,0.00136173,4.15720,2.03231,1.95616,8764.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",3,15.1689,15.0367,0.0480238,0.000219498,0.0497833,0.000231227,0.0511298,0.000243136,0.0517778,0.000254919,0.0520378,0.000267138,56404.51395873767,0.00176295,0.00142479,4.21006,2.05319,1.94327,8765.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",4,15.1667,15.0362,0.0479087,0.000215097,0.0496828,0.000225878,0.0510624,0.000236767,0.0517236,0.000247386,0.0519850,0.000258323,56404.51398151690,0.00176615,0.00131126,4.16330,2.03440,1.97126,8838.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",5,15.1780,15.0336,0.0476767,0.000211079,0.0494683,0.000221048,0.0508305,0.000230977,0.0514946,0.000240564,0.0517587,0.000250373,56404.51400429612,0.00168717,0.00120702,4.18954,2.04772,1.95716,8746.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",6,15.1779,15.0279,0.0478932,0.000216382,0.0496822,0.000227495,0.0510482,0.000238701,0.0517010,0.000249682,0.0519597,0.000261022,56404.51402707535,0.00181871,0.00134737,4.17766,2.04362,1.94877,8799.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",7,15.1845,15.0287,0.0478007,0.000219755,0.0495920,0.000231702,0.0509454,0.000243802,0.0516046,0.000255798,0.0518939,0.000268271,56404.51404985457,0.00173621,0.00144043,4.23775,2.03951,1.97776,8722.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",8,15.1843,15.0298,0.0477411,0.000211518,0.0495412,0.000221578,0.0508968,0.000231586,0.0515660,0.000241282,0.0518464,0.000251228,56404.51407263379,0.00158296,0.00121631,4.14623,2.01602,1.94772,8782.56
"ch2/bcd/SPITZER_I2_46468864_0000_0000_1_bcd.fits",9,15.1765,15.0313,0.0472671,0.000215949,0.0490392,0.000227227,0.0504023,0.000238631,0.0510707,0.000249849,0.0513558,0.000261450,56404.51409541302,0.00178310,0.00136374,4.23329,2.04697,1.98512,8655.56
