bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN,pixval0-0,pixval0-1,pixval0-2,pixval0-3,pixval0-4,pixval0-5,pixval0-6,pixval0-7,pixval0-8,pixval1-0,pixval1-1,pixval1-2,pixval1-3,pixval1-4,pixval1-5,pixval1-6,pixval1-7,pixval1-8,pixval2-0,pixval2-1,pixval2-2,pixval2-3,pixval2-4,pixval2-5,pixval2-6,pixval2-7,pixval2-8,pixval3-0,pixval3-1,pixval3-2,pixval3-3,pixval3-4,pixval3-5,pixval3-6,pixval3-7,pixval3-8,pixval4-0,pixval4-1,pixval4-2,pixval4-3,pixval4-4,pixval4-5,pixval4-6,pixval4-7,pixval4-8,pixval5-0,pixval5-1,pixval5-2,pixval5-3,pixval5-4,pixval5-5,pixval5-6,pixval5-7,pixval5-8,pixval6-0,pixval6-1,pixval6-2,pixval6-3,pixval6-4,pixval6-5,pixval6-6,pixval6-7,pixval6-8,pixval7-0,pixval7-1,pixval7-2,pixval7-3,pixval7-4,pixval7-5,pixval7-6,pixval7-7,pixval7-8,pixval8-0,pixval8-1,pixval8-2,pixval8-3,pixval8-4,pixval8-5,pixval8-6,pixval8-7,pixval8-8
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",36,15.1588,15.1238,0.0478806,0.000211570,0.0495876,0.000221416,0.0509112,0.000231309,0.0516307,0.000241006,0.0519143,0.000250869,56430.05437645208,0.00191111,0.00121178,4.35285,2.02437,1.96989,8568.56,0.868002,0.711578,1.43911,2.64509,1.50303,3.80633,2.69310,0.944366,0.388081,1.36533,1.99819,2.23892,1.56040,2.61360,0.853759,2.00425,3.53820,1.25304,1.39466,1.97870,0.922082,1.57700,12.8779,8.33187,3.34630,2.26282,1.63092,4.17895,0.0117503,5.28518,26.9986,61.7425,62.9240,11.6645,3.03704,3.91834,2.42199,2.38396,21.0906,86.3892,704.605,120.019,17.1289,2.70248,1.75726,3.54766,2.37864,10.0817,52.3293,110.858,97.8987,14.1454,1.50161,1.63017,1.19194,1.33474,1.00753,8.95501,37.0201,31.2130,7.57005,1.41918,1.69354,2.45176,2.69921,1.55860,1.31086,3.45612,6.16090,2.04577,2.50612,1.35993,0.546613,1.14224,1.84192,1.91283,2.01448,2.79292,2.47657,1.51778,1.03138
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",37,15.1440,15.1312,0.0481440,0.000215103,0.0498159,0.000225607,0.0511148,0.000236256,0.0517803,0.000246757,0.0520314,0.000257542,56430.05439923131,0.00207631,0.00130094,4.39781,2.01387,1.97958,8531.56,0.259907,0.499695,1.06537,3.23504,1.45065,4.38954,2.16452,1.52393,0.414699,0.943600,2.89964,2.54772,1.14990,2.83014,1.06640,1.13633,4.14632,1.46700,2.03029,1.59103,1.62924,0.952712,12.6550,8.98320,3.04411,2.50586,2.03017,3.62373,2.80434,5.26963,28.7484,66.5597,61.6303,12.3678,2.86220,3.50417,2.91828,1.85344,21.3546,84.4655,701.536,130.929,17.1571,2.41116,2.42475,3.99967,2.11888,7.77597,49.4832,106.468,103.607,14.9990,1.63813,2.46295,1.76180,1.50513,1.56173,7.77443,35.9223,32.4074,5.44693,1.34799,1.23694,2.05499,2.68442,1.46615,1.68400,3.04663,5.58885,2.18771,2.25694,1.18579,0.809974,1.09179,1.55610,2.63653,1.56976,2.49111,2.42068,1.70580,1.69630
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",38,15.1437,15.1328,0.0476831,0.000214945,0.0493430,0.000225609,0.0506364,0.000236442,0.0513139,0.000247166,0.0515794,0.000258189,56430.05442201054,0.00202414,0.00131795,4.44164,2.01989,1.98330,8412.56,0.670430,0.592964,0.677612,3.00736,1.93942,3.21156,2.25728,0.905125,0.506613,1.09705,3.04687,2.70669,1.29929,2.03177,1.13730,1.43802,3.58937,1.53868,1.97462,1.45619,1.42053,0.977626,11.6675,9.16869,3.45758,1.90369,2.05416,3.82515,2.69571,4.60901,27.5134,67.6575,65.2751,13.5350,2.35304,3.55262,3.08808,2.50400,21.5259,83.4243,691.507,127.855,17.1709,2.58366,1.95745,2.88956,2.42943,8.24197,50.1227,104.277,102.792,13.7995,1.55274,1.68184,1.94647,0.895484,1.11577,7.71866,36.6591,30.6153,6.26122,1.85293,1.64831,1.87210,2.11673,1.74680,1.81089,3.94993,5.39416,1.91920,2.46086,0.995580,0.506929,1.18085,1.88058,2.34162,1.59350,2.66604,1.35176,1.63880,0.672084
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",39,15.1393,15.1153,0.0476377,0.000215118,0.0492916,0.000225830,0.0506127,0.000236765,0.0512988,0.000247563,0.0515568,0.000258640,56430.05444478976,0.00220832,0.00132532,4.35018,2.01912,1.97923,8534.56,0.566985,1.44464,1.45613,2.66234,1.43962,3.18753,3.26525,1.35581,1.26921,0.390171,2.83129,1.72821,1.54829,2.75922,2.23760,1.91482,3.44703,1.39695,1.78356,2.21607,1.92881,1.81485,12.0216,9.45448,3.42325,2.02576,1.62958,3.55858,1.17925,5.51840,27.8788,64.5575,62.9213,12.2208,2.39694,3.03837,2.59490,2.71910,22.6889,88.6013,701.863,121.251,15.9038,2.24170,1.05224,3.69266,2.44423,9.12354,48.3614,104.374,101.679,12.7812,1.80593,2.08342,0.788300,1.65095,1.00303,9.19141,35.4344,31.2912,6.85863,1.33945,1.30487,2.67866,2.77340,1.32294,1.54114,2.35901,5.20167,2.27869,2.26968,1.51708,0.562573,0.544955,1.46667,2.39021,1.87582,2.80783,2.07847,1.77575,0.649635
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",40,15.1373,15.1090,0.0478132,0.000212260,0.0494727,0.000222221,0.0508010,0.000232335,0.0514883,0.000242216,0.0517684,0.000252327,56430.05446756898,0.00201937,0.00123589,4.33245,2.03345,1.97980,8601.56,0.711866,-0.321320,0.960485,3.13024,1.66402,4.20614,2.21996,1.73726,0.390794,1.04301,2.22733,2.48609,1.63702,2.45387,1.16278,1.38656,4.16577,1.01720,1.48268,1.59157,2.09495,1.66708,12.7319,9.14511,3.82457,2.35015,1.87491,4.47617,3.51028,4.95854,28.4307,68.0947,64.2720,11.4133,2.14913,3.10919,3.05125,3.02382,23.8621,86.8803,707.439,113.851,16.3865,1.82940,2.56053,3.46748,1.82124,8.11060,48.6958,107.053,99.7526,12.7129,1.26118,1.70636,1.52279,1.02859,1.40584,8.09186,36.9526,30.7499,6.86914,1.66889,1.23720,1.67576,2.22759,1.85811,1.53207,2.50287,6.14782,2.27048,2.33886,1.11032,0.152747,1.29736,2.07500,1.99234,1.69791,2.64367,2.89706,1.36076,0.953305
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",41,15.1425,15.1012,0.0475845,0.000222774,0.0492178,0.000235248,0.0505314,0.000248132,0.0512205,0.000261081,0.0515022,0.000274510,56430.05449034821,0.00220635,0.00152740,4.35201,2.03143,1.99133,8551.56,0.670665,0.354445,1.23993,3.56996,1.46386,3.68857,2.17879,1.22185,0.742932,1.50209,2.05260,2.71088,1.45943,3.38197,1.21899,1.90445,3.75085,1.54286,1.88052,1.59987,1.71543,1.67541,11.9639,9.71457,2.74040,2.28031,1.96194,3.98998,2.47194,6.03644,28.0051,68.7157,61.4503,10.5902,2.60264,3.88283,2.30560,2.66380,23.7414,89.8453,703.266,111.781,16.1773,3.06218,2.67874,3.60322,2.83091,8.48262,49.8840,107.760,99.8918,13.0879,1.55753,2.46060,1.21039,1.19667,2.35507,9.05242,34.5847,30.5207,6.40309,1.27880,1.71137,1.65293,2.35731,2.22154,1.89874,2.63403,5.32923,2.48351,2.78283,0.449268,0.666468,1.02793,1.72304,2.33533,1.26499,2.92140,2.10335,2.12075,1.23105
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",42,15.1528,15.1075,0.0478096,0.000212908,0.0494761,0.000223037,0.0507760,0.000233277,0.0514596,0.000243345,0.0517393,0.000253663,56430.05451312743,0.00197549,0.00125487,4.30153,2.00867,1.95828,8590.56,0.0989299,0.338711,1.54484,3.15306,1.21075,3.91125,1.84529,1.04783,0.177225,1.53886,2.16461,1.83824,1.49540,2.46839,1.25453,1.09252,3.62989,1.50103,1.70958,1.66283,1.77684,1.73731,11.7148,8.33389,3.66047,2.26376,2.41488,4.91147,0.751591,5.24516,28.8027,65.4880,62.7240,11.3047,1.88160,3.55863,2.68228,3.28548,22.3021,86.2538,706.755,118.905,15.5812,2.40931,2.02239,3.95487,3.26367,8.67637,48.6291,106.340,99.6866,12.3300,1.59406,1.64357,1.59456,1.89423,1.31822,9.35336,38.6085,30.9796,6.54550,0.942228,1.46041,2.02953,2.42968,2.29517,1.34744,3.10076,5.72209,1.84854,2.23263,1.39938,0.571104,1.39530,1.70948,2.32374,1.72137,2.50265,3.00458,1.06175,0.577145
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",43,15.1494,15.1265,0.0480435,0.000210465,0.0497398,0.000219951,0.0510660,0.000229471,0.0517696,0.000238728,0.0520435,0.000248124,56430.05453590666,0.00188599,0.00117020,4.38626,2.00902,1.97018,8528.56,0.230511,0.947801,1.51697,2.48225,1.73800,3.88343,2.05592,1.57397,0.700004,0.882814,2.61123,1.82288,1.09110,2.45368,0.852887,1.00116,3.77251,1.17323,1.28024,1.86026,1.65934,1.06294,12.6061,9.25564,3.07431,2.77133,1.43633,4.37532,1.76986,5.40628,28.0047,66.4575,62.7283,12.0272,2.12439,3.32393,3.12427,1.90359,21.4039,86.4686,701.329,124.318,17.7891,2.38159,2.23489,3.78259,2.29731,8.26799,49.0181,108.509,102.094,14.2230,1.57881,2.32711,1.47319,0.820058,2.14241,9.23287,36.1105,30.8589,7.37291,0.580895,1.11335,1.95767,2.35709,1.60056,1.97623,2.32422,5.32774,2.24539,2.86025,0.528804,0.701391,0.604263,1.83896,2.14193,1.38198,2.31055,2.13903,1.67620,1.26761
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",44,15.1279,15.1214,0.0477649,0.000217804,0.0494014,0.000229051,0.0507299,0.000240615,0.0514313,0.000252113,0.0517047,0.000263943,56430.05455868588,0.00214617,0.00139287,4.38778,2.02774,1.99108,8529.56,1.11975,0.0882395,1.53335,2.49893,1.91316,3.74083,2.07203,0.878939,1.26654,0.386877,2.29132,2.67863,1.46794,2.83640,0.606204,1.83582,4.07386,0.769023,1.50102,1.52932,1.49159,1.68429,13.0592,9.56309,3.76351,2.13252,1.97072,3.84426,2.63687,4.94364,28.8972,74.6103,63.2165,12.1970,2.69130,3.01446,2.20078,2.23883,22.7652,86.8916,701.431,119.702,16.1493,2.31831,1.53061,2.90250,2.76038,8.64880,46.4232,103.807,100.627,14.2096,2.12001,2.62451,1.29971,1.52340,0.874112,7.87107,34.9876,29.1088,7.51807,1.68900,1.40923,2.57866,2.59671,1.37773,1.36054,3.88464,4.93851,2.17636,2.32402,1.09564,0.481293,1.30886,2.78823,1.77126,1.95275,2.72812,2.82487,2.17447,1.12554
"ch2/bcd/SPITZER_I2_46469888_0004_0000_1_bcd.fits",45,15.1302,15.1190,0.0478055,0.000218445,0.0494386,0.000229817,0.0507485,0.000241496,0.0514215,0.000253111,0.0516673,0.000265078,56430.05458146511,0.00220481,0.00140808,4.40536,2.02955,1.98589,8503.56,0.529027,0.610573,1.49771,2.94527,1.56056,3.14985,1.79870,1.55535,0.445480,1.46803,2.55768,2.42741,1.73864,2.16098,0.642426,1.79495,4.03215,1.27544,1.93231,2.44786,1.37933,1.56868,12.7140,9.68767,3.57248,2.64545,1.46663,3.02788,0.954655,5.29179,29.0122,73.4345,64.2094,11.7514,1.76987,3.04819,2.94904,2.68103,22.8092,88.5622,699.166,122.104,18.1014,2.52183,2.77619,3.33352,2.32114,7.58288,48.3156,102.712,99.1312,12.8959,2.07824,2.50640,1.18235,1.40559,1.70414,8.39085,34.4769,30.2574,5.98191,1.73088,1.37629,2.30610,2.47561,2.41915,1.54963,2.90536,6.16665,2.21009,2.20128,2.00366,0.920065,1.88711,1.42946,2.58512,1.52391,2.29439,3.03597,1.73713,1.08839
