bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",0,15.1322,15.1374,0.0472523,0.000210887,0.0488891,0.000220758,0.0501933,0.000230771,0.0508861,0.000240585,0.0511696,0.000250614,56254.51310710000,0.00139683,0.00122307,4.41204,2.02954,1.97993,8390.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",1,15.1323,15.1414,0.0476984,0.000211557,0.0493525,0.000221401,0.0506683,0.000231376,0.0513694,0.000241148,0.0516576,0.000251127,56254.51312987923,0.00170534,0.00122051,4.40216,2.01529,1.99934,8480.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",2,15.1450,15.1304,0.0478854,0.000215258,0.0495283,0.000225874,0.0508106,0.000236670,0.0514894,0.000247377,0.0517441,0.000258368,56254.51315265845,0.00179456,0.00131729,4.37376,2.00619,1.95957,8499.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",3,15.1427,15.1374,0.0480679,0.000212798,0.0497446,0.000222798,0.0510560,0.000232901,0.0517546,0.000242825,0.0520423,0.000252977,56254.51317543767,0.00173859,0.00123859,4.39453,2.02796,1.98125,8541.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",4,15.1403,15.1307,0.0481143,0.000219388,0.0497834,0.000230904,0.0510914,0.000242682,0.0517693,0.000254427,0.0520161,0.000266535,56254.51319821690,0.00190727,0.00141858,4.42925,2.01543,1.97617,8493.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",5,15.1481,15.1515,0.0478398,0.000217220,0.0495159,0.000228370,0.0508033,0.000239700,0.0515048,0.000251017,0.0517986,0.000262686,56254.51322099612,0.00169615,0.00137295,4.47466,2.03116,1.96581,8386.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",6,15.1492,15.1281,0.0481335,0.000211904,0.0498487,0.000221721,0.0511793,0.000231582,0.0518896,0.000241221,0.0521879,0.000251060,56254.51324377535,0.00165488,0.00120897,4.46198,2.02708,1.98998,8468.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",7,15.1508,15.1390,0.0478751,0.000213537,0.0495811,0.000223852,0.0508901,0.000234242,0.0515879,0.000244483,0.0518739,0.000254979,56254.51326655457,0.00164949,0.00126931,4.39266,2.02091,1.96382,8494.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",8,15.1498,15.1249,0.0478815,0.000216672,0.0495676,0.000227690,0.0508597,0.000238865,0.0515111,0.000249933,0.0517500,0.000261338,56254.51328933379,0.00183818,0.00135629,4.41084,2.02345,1.95959,8464.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",9,15.1646,15.1387,0.0478104,0.000217117,0.0495339,0.000228325,0.0508374,0.000239655,0.0515422,0.000250948,0.0518389,0.000262588,56254.51331211302,0.00179720,0.00137198,4.47746,2.05265,1.99434,8426.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",10,15.1645,15.1303,0.0479838,0.000216189,0.0497253,0.000227134,0.0510430,0.000238168,0.0517459,0.000249113,0.0520412,0.000260381,56254.51333489225,0.00175409,0.00133848,4.42576,2.03719,1.97044,8498.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",11,15.1662,15.1318,0.0481020,0.000216352,0.0498228,0.000227241,0.0511256,0.000238229,0.0518269,0.000249146,0.0521077,0.000260364,56254.51335767147,0.00173602,0.00133806,4.46890,2.04130,1.97939,8465.56
"ch2/bcd/SPITZER_I2_46467584_0000_0000_1_bcd.fits",12,15.1619,15.1333,0.0480456,0.000215689,0.0497942,0.000226499,0.0511098,0.000237370,0.0517976,0.000248117,0.0520733,0.000259169,56254.51338045069,0.00180216,0.00132187,4.48848,2.05023,1.96523,8439.56
