bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN,pixval0-0,pixval0-1,pixval0-2,pixval0-3,pixval0-4,pixval0-5,pixval0-6,pixval0-7,pixval0-8,pixval1-0,pixval1-1,pixval1-2,pixval1-3,pixval1-4,pixval1-5,pixval1-6,pixval1-7,pixval1-8,pixval2-0,pixval2-1,pixval2-2,pixval2-3,pixval2-4,pixval2-5,pixval2-6,pixval2-7,pixval2-8,pixval3-0,pixval3-1,pixval3-2,pixval3-3,pixval3-4,pixval3-5,pixval3-6,pixval3-7,pixval3-8,pixval4-0,pixval4-1,pixval4-2,pixval4-3,pixval4-4,pixval4-5,pixval4-6,pixval4-7,pixval4-8,pixval5-0,pixval5-1,pixval5-2,pixval5-3,pixval5-4,pixval5-5,pixval5-6,pixval5-7,pixval5-8,pixval6-0,pixval6-1,pixval6-2,pixval6-3,pixval6-4,pixval6-5,pixval6-6,pixval6-7,pixval6-8,pixval7-0,pixval7-1,pixval7-2,pixval7-3,pixval7-4,pixval7-5,pixval7-6,pixval7-7,pixval7-8,pixval8-0,pixval8-1,pixval8-2,pixval8-3,pixval8-4,pixval8-5,pixval8-6,pixval8-7,pixval8-8
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",0,15.1716,15.1246,0.0475235,0.000210851,0.0492642,0.000220747,0.0505702,0.000230599,0.0512637,0.000240236,0.0515521,0.000250079,56433.23838060000,0.00157011,0.00120887,4.41458,2.04345,1.97478,8448.56,0.400725,0.641830,1.20784,2.81583,1.11527,3.89564,1.82964,0.320352,0.554242,1.01702,2.20294,1.96222,1.76807,1.71611,1.44814,1.51606,3.74807,0.678814,0.824503,2.03334,1.36283,0.519338,10.6796,8.62976,3.79032,1.76744,1.37198,4.29918,1.69230,4.85649,25.3635,58.4974,62.9000,11.8704,2.44348,3.00612,2.03973,1.83576,21.4197,84.7101,692.737,121.429,16.5609,1.91584,1.52651,2.89082,2.19267,8.40208,50.4552,114.659,97.4110,13.6442,1.07761,1.21623,1.16702,1.31011,0.588958,9.01174,40.7314,33.8010,6.99250,1.71576,1.36008,2.03474,3.12589,1.13634,1.35554,3.26864,6.36562,1.93180,1.76952,0.688937,0.476379,0.768710,1.61706,1.61440,1.32393,2.32544,1.23635,1.84895,-0.0773381
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",1,15.1768,15.1167,0.0474050,0.000215195,0.0491519,0.000226182,0.0504588,0.000237225,0.0511565,0.000248182,0.0514572,0.000259470,56433.23840337923,0.00193173,0.00133809,4.46990,2.04724,2.00329,8386.56,-0.397501,0.716486,0.882676,3.37323,1.58703,3.17646,2.22214,0.790770,0.786057,0.693464,2.50736,2.29026,1.53138,2.34664,0.980595,1.35919,4.45245,0.833058,1.33605,1.67960,1.40558,1.12082,10.8782,8.27408,3.20941,2.67167,1.57280,3.49011,2.20075,4.58278,26.2855,58.9328,62.7725,9.59469,2.56489,3.68532,2.03568,2.62789,22.8365,85.5062,688.769,118.404,18.5430,2.46946,0.880685,2.80900,2.74548,9.42249,51.6559,118.283,95.8588,13.5592,1.86684,2.45466,1.29125,1.03795,1.72886,9.92581,38.9466,35.0245,7.35126,1.59676,1.86743,1.84661,2.85869,1.48768,1.55138,3.30910,6.72539,2.21131,1.88854,1.52485,0.551653,1.52992,2.15639,1.60938,1.56085,2.48268,2.14627,1.12144,0.797965
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",2,15.1880,15.1130,0.0478994,0.000212559,0.0496712,0.000222732,0.0509679,0.000232823,0.0516634,0.000242751,0.0519588,0.000252921,56433.23842615845,0.00190945,0.00124038,4.40465,2.03485,1.98939,8520.56,0.395121,0.237483,1.36249,2.97066,0.950796,4.20744,1.98287,0.947411,-0.0803744,1.05179,2.31200,1.91383,1.41080,2.69926,1.32551,1.00895,4.33086,1.10304,1.09848,1.67663,1.48020,1.75249,11.3418,7.30505,2.81577,1.88595,1.64623,3.53641,2.09192,3.92105,25.3696,54.1499,63.5399,9.96175,2.45366,3.01527,3.28683,2.54685,23.2301,87.9393,700.490,115.804,17.6299,2.30802,1.60065,3.94824,2.54387,10.8763,50.7215,122.285,98.4730,14.3903,1.58561,2.17991,1.04813,1.82855,1.33346,8.97048,41.6399,33.8382,7.42691,1.83665,1.70897,2.04465,2.59751,1.30211,1.52121,3.51683,6.85142,2.10066,2.48085,1.41420,0.707202,1.29871,1.99863,2.14646,1.46833,2.64259,1.56266,1.76284,0.156935
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",3,15.1756,15.1043,0.0479731,0.000217574,0.0496858,0.000228796,0.0509712,0.000240137,0.0516373,0.000251418,0.0518896,0.000263049,56433.23844893767,0.00205565,0.00137706,4.26033,2.01555,1.96131,8687.56,-0.0752337,0.163877,1.20824,3.21748,1.67083,3.49857,2.30627,1.27039,0.633463,0.376340,1.51227,1.71463,1.76862,2.58767,1.06145,1.43943,4.06255,1.14887,1.73135,1.52721,1.41203,1.04731,11.9700,8.03652,2.59109,2.91298,1.88975,3.70753,1.95308,6.22146,26.1085,54.2472,63.8751,9.34010,1.59498,3.51081,2.66649,2.63272,24.2648,87.6196,714.752,112.645,15.7305,2.71223,1.36654,3.99455,1.56001,8.95327,51.6571,117.473,96.8250,12.1316,0.999015,2.22509,1.69813,2.07559,2.04944,9.05922,40.6948,33.3711,7.04142,1.76238,1.87299,2.51922,2.15322,1.54900,1.22500,3.06543,5.27447,2.82651,2.65417,1.35154,0.714049,1.30446,1.84774,1.99823,2.17241,2.49334,2.90464,1.84845,0.881818
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",4,15.1680,15.1058,0.0479550,0.000217920,0.0496793,0.000229249,0.0509943,0.000240730,0.0516795,0.000252143,0.0519626,0.000263927,56433.23847171690,0.00209611,0.00138712,4.34967,2.04041,1.98820,8617.56,0.394538,1.27258,1.36243,2.72941,1.58597,4.20693,1.50638,0.789497,-0.000948480,1.18887,2.67382,1.88996,1.77833,2.75573,1.53619,2.14255,3.36493,0.845783,1.01721,1.67321,2.25216,1.19287,11.4912,8.10492,3.51574,2.58705,1.56596,3.33016,2.11775,5.36399,26.1976,58.6823,62.5262,10.0676,1.92236,3.12114,1.95570,2.86528,24.4958,85.2573,708.972,115.637,16.9674,2.06890,2.16147,3.37403,2.75889,9.51400,50.2947,117.970,98.8510,14.1299,1.72357,2.07971,1.44493,1.34947,1.32843,9.36372,39.8913,32.4112,6.95075,1.03299,1.70565,2.45238,2.77659,1.63660,1.62407,2.91422,6.24115,2.28394,2.35093,1.20206,0.392651,1.29837,1.21820,2.53544,1.53883,3.11759,2.31301,1.28117,0.715153
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",5,15.1658,15.1044,0.0478098,0.000220305,0.0495231,0.000232234,0.0508298,0.000244378,0.0515021,0.000256511,0.0517611,0.000269060,56433.23849449612,0.00204837,0.00145584,4.35634,2.02625,1.97536,8552.56,1.22385,-0.365386,1.39772,3.08605,2.33492,3.92416,2.25551,1.53563,0.583362,0.686464,2.50071,3.27816,1.60259,2.41890,0.275491,1.42959,3.34493,0.904188,1.88400,1.36496,1.48520,1.20221,12.5871,8.19250,2.97677,2.67432,1.96341,3.53902,2.17302,5.34088,25.7731,61.3163,63.8605,10.3636,2.77472,2.77909,2.92983,2.90051,23.9763,87.4051,703.349,113.564,16.1752,2.26360,2.91664,2.72402,2.26317,8.23343,52.3728,115.599,97.2173,12.9955,1.46572,2.06019,0.889670,1.43798,1.18320,9.76893,40.3725,32.4185,6.95817,1.51998,1.48018,2.20029,2.90741,1.22553,1.21132,2.73318,6.05751,2.65409,2.17133,0.860787,1.13845,1.17881,1.87637,1.48552,2.21253,2.67970,2.10038,1.47659,1.22841
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",6,15.1664,15.1080,0.0481225,0.000219741,0.0498602,0.000231435,0.0511862,0.000243311,0.0518705,0.000255140,0.0521337,0.000267350,56433.23851727535,0.00207358,0.00142799,4.36228,2.02001,1.98394,8605.56,0.412444,0.334205,1.54026,2.58634,1.36451,3.66812,2.63441,1.51798,0.329992,0.261960,2.24784,2.17604,1.03413,2.71291,1.80364,1.32998,4.26529,1.03770,1.15721,1.57755,1.07490,1.49374,11.4752,8.48858,2.95253,2.57115,1.70503,3.44850,1.06769,5.32719,26.8024,60.8998,63.6070,11.7874,2.52196,3.64207,2.91225,3.12159,23.8006,88.2803,707.880,112.411,16.4876,2.32545,1.93886,3.96144,3.19118,9.94362,52.0268,118.004,99.4521,12.6545,1.67822,2.50329,1.83060,1.17385,1.31537,9.03008,39.8722,33.6585,6.77575,2.21256,1.92225,2.56998,2.74053,1.91067,1.11865,3.10930,4.84822,1.77340,2.15826,1.72067,0.882702,1.16147,1.85928,2.47188,1.71527,2.58384,2.41506,2.02067,0.333516
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",7,15.1861,15.1132,0.0477300,0.000214413,0.0494785,0.000225067,0.0507533,0.000235696,0.0514385,0.000246239,0.0517121,0.000257063,56433.23854005457,0.00199529,0.00130146,4.36221,2.03623,1.95033,8517.56,0.215562,1.01302,1.34122,3.18993,1.40560,3.47120,2.04071,1.40098,0.999647,0.479997,1.76542,2.81542,1.09023,2.13590,1.08397,1.30822,4.32168,2.11137,1.58847,1.30144,1.65779,0.822773,10.9728,8.45061,3.15024,2.53431,1.66834,4.08418,-0.00590164,4.71611,27.1412,56.3286,62.6669,9.88972,2.54082,3.18263,2.17010,2.60535,22.8919,87.2655,700.371,112.209,15.7851,1.57004,1.89929,3.38739,2.29684,10.1577,51.9634,119.116,98.8638,13.4270,1.65618,2.24937,1.30977,0.899682,1.51097,8.83381,42.5344,33.9369,7.52812,1.69610,1.49798,1.89928,2.83548,1.46392,1.60529,3.67806,6.78071,1.87246,2.17674,0.865541,1.00399,0.895222,2.21221,2.20380,1.84374,2.46671,1.70874,2.14278,0.295045
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",8,15.1661,15.0943,0.0477858,0.000217155,0.0494865,0.000228354,0.0507962,0.000239725,0.0514754,0.000251018,0.0517567,0.000262679,56433.23856283379,0.00202580,0.00137360,4.29310,2.01383,1.97579,8629.56,-0.0716975,0.0875479,1.53240,2.89963,1.51541,3.66114,2.46843,1.35191,0.243741,0.0480729,1.88954,2.70104,2.15190,2.58075,0.744324,1.35594,4.13455,1.14272,1.75812,1.31635,2.29137,1.78808,11.2199,7.34352,3.08596,2.31361,2.30677,4.14711,2.16297,4.70138,25.3621,58.5682,63.4518,9.95446,2.92424,2.76965,2.59130,3.03447,24.9795,87.9480,709.932,108.677,15.2368,2.39740,2.25020,2.96325,2.74219,9.89153,51.6499,120.543,94.2366,12.6810,1.94318,1.67555,1.56492,1.31157,1.36968,9.48318,39.9291,32.9236,7.14778,1.23284,1.27763,2.26717,2.43720,1.60497,0.499907,3.11546,5.72896,1.54337,1.69348,1.01044,1.19208,1.61392,1.85023,2.23322,1.38897,2.42150,2.82552,1.20991,0.484849
"ch2/bcd/SPITZER_I2_46467328_0000_0000_1_bcd.fits",9,15.1846,15.1139,0.0478944,0.000214954,0.0495940,0.000225579,0.0508353,0.000236218,0.0515004,0.000246802,0.0517854,0.000257721,56433.23858561302,0.00201364,0.00130889,4.34039,2.02903,1.96190,8569.56,0.238420,-0.158834,1.76584,2.97251,1.66691,3.01783,2.38134,0.870753,0.629577,1.36101,1.68691,2.23400,1.63519,1.97606,1.78048,1.30680,4.32035,1.17068,1.86775,1.50762,2.16785,0.950795,10.3196,7.45520,3.50776,2.34544,1.55830,3.55498,1.72029,3.93961,25.0674,55.5350,64.1156,9.74138,2.23359,3.67190,2.66255,2.31003,23.2318,86.5576,704.775,112.072,15.9750,2.31005,2.80404,3.22823,2.69147,9.76228,51.1951,125.433,97.2490,13.8230,1.89242,2.47986,1.51682,1.34258,1.00869,8.72190,41.6266,32.4825,7.25978,1.58374,1.15661,2.52092,2.23159,1.32031,1.46178,3.84534,6.86966,2.11942,2.26534,1.27339,0.788911,1.22449,0.988309,1.37730,1.38707,2.72744,1.56654,1.68483,0.796514
