bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",0,15.1445,15.0522,0.0473253,0.000208193,0.0490013,0.000217451,0.0503707,0.000226816,0.0510519,0.000235781,0.0513161,0.000244875,56251.31491220000,0.00151227,0.00113765,4.15379,2.02698,1.96328,8732.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",1,15.1579,15.0421,0.0476719,0.000216691,0.0493714,0.000227838,0.0507064,0.000239194,0.0513511,0.000250377,0.0515996,0.000261933,56251.31493497923,0.00201508,0.00136567,4.19083,2.03885,1.98270,8762.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",2,15.1598,15.0290,0.0476789,0.000220947,0.0493907,0.000233088,0.0507474,0.000245539,0.0513900,0.000257884,0.0516333,0.000270688,56251.31495775846,0.00200845,0.00147718,4.14701,2.02846,1.96382,8802.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",3,15.1570,15.0304,0.0477740,0.000219454,0.0494877,0.000231211,0.0508617,0.000243267,0.0515103,0.000255158,0.0517594,0.000267473,56251.31498053767,0.00194490,0.00143484,4.15082,2.03416,1.96324,8817.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",4,15.1581,15.0396,0.0480475,0.000219493,0.0497741,0.000231159,0.0511400,0.000243086,0.0517954,0.000254867,0.0520475,0.000267061,56251.31500331690,0.00186911,0.00142365,4.12881,2.04428,1.94950,8885.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",5,15.1590,15.0308,0.0478181,0.000221857,0.0495499,0.000234173,0.0509251,0.000246809,0.0516029,0.000259376,0.0518920,0.000272429,56251.31502609613,0.00199889,0.00149449,4.13576,2.04062,1.97558,8870.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",6,15.1526,15.0310,0.0476443,0.000215505,0.0493446,0.000226383,0.0507095,0.000237486,0.0513573,0.000248339,0.0516101,0.000259535,56251.31504887535,0.00193860,0.00133518,4.13881,2.04742,1.97592,8822.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",7,15.1702,15.0179,0.0477242,0.000213242,0.0495273,0.000223720,0.0509326,0.000234257,0.0515900,0.000244435,0.0518700,0.000254922,56251.31507165457,0.00178044,0.00126765,4.19441,2.04272,1.97583,8775.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",8,15.1687,15.0214,0.0476671,0.000216203,0.0493988,0.000227289,0.0507449,0.000238536,0.0513855,0.000249575,0.0516534,0.000261008,56251.31509443380,0.00185871,0.00135269,4.12633,2.03189,1.95087,8807.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",9,15.1621,15.0299,0.0475886,0.000213432,0.0493236,0.000223910,0.0506942,0.000234518,0.0513510,0.000244830,0.0516271,0.000255458,56251.31511721302,0.00185167,0.00127953,4.13779,2.04365,1.97345,8808.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",10,15.1607,15.0232,0.0477378,0.000222235,0.0495097,0.000234735,0.0509107,0.000247537,0.0515622,0.000260208,0.0518159,0.000273366,56251.31513999225,0.00189517,0.00150725,4.16160,2.04201,1.97060,8804.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",11,15.1645,15.0183,0.0477270,0.000217869,0.0494706,0.000229328,0.0508391,0.000240995,0.0514729,0.000252448,0.0517248,0.000264315,56251.31516277148,0.00190721,0.00139524,4.16239,2.03507,1.96696,8794.56
"ch2/bcd/SPITZER_I2_46470144_0000_0000_1_bcd.fits",12,15.1680,15.0131,0.0475304,0.000218477,0.0492821,0.000230186,0.0506547,0.000242117,0.0512948,0.000253863,0.0515506,0.000266043,56251.31518555069,0.00186755,0.00141922,4.10816,2.01009,1.97840,8823.56
