bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",0,15.0995,15.1255,0.0475075,0.000214962,0.0490825,0.000225573,0.0503898,0.000236518,0.0510644,0.000247332,0.0513184,0.000258436,56248.16322050000,0.00163324,0.00132700,4.40790,2.00301,1.98051,8438.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",1,15.1002,15.1209,0.0480960,0.000219111,0.0496776,0.000230430,0.0510127,0.000242184,0.0517150,0.000253888,0.0519669,0.000265917,56248.16324327922,0.00192097,0.00141260,4.31838,2.01272,1.96545,8633.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",2,15.0931,15.1184,0.0481399,0.000212175,0.0497262,0.000221842,0.0510729,0.000231798,0.0517816,0.000241509,0.0520612,0.000251399,56248.16326605845,0.00174773,0.00121717,4.33386,1.99811,1.98353,8617.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",3,15.1006,15.1176,0.0481433,0.000217985,0.0497518,0.000229061,0.0511006,0.000240524,0.0517905,0.000251868,0.0520425,0.000263528,56248.16328883767,0.00176821,0.00138057,4.25922,1.99252,1.95023,8684.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",4,15.1143,15.1124,0.0476337,0.000218440,0.0492034,0.000229797,0.0505106,0.000241569,0.0512010,0.000253314,0.0514741,0.000265431,56248.16331161690,0.00196681,0.00141487,4.29134,2.01641,1.95987,8587.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",5,15.1159,15.1210,0.0477595,0.000207562,0.0493953,0.000216380,0.0507486,0.000225311,0.0514580,0.000233867,0.0517238,0.000242465,56248.16333439612,0.00163244,0.00109483,4.28750,1.99251,1.95026,8583.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",6,15.1074,15.0967,0.0477179,0.000212977,0.0493070,0.000223041,0.0506490,0.000233417,0.0513408,0.000243570,0.0516113,0.000253952,56248.16335717535,0.00171431,0.00126130,4.25840,2.01284,1.97105,8635.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",7,15.1118,15.1092,0.0484049,0.000211373,0.0500051,0.000220743,0.0513393,0.000230329,0.0520352,0.000239637,0.0523008,0.000249089,56248.16337995457,0.00182180,0.00117960,4.25950,2.00780,1.96672,8742.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",8,15.1094,15.1171,0.0481289,0.000217684,0.0497487,0.000228714,0.0510927,0.000240100,0.0517922,0.000251381,0.0520482,0.000262962,56248.16340273379,0.00182419,0.00137313,4.35516,2.01947,1.97077,8590.56
"ch2/bcd/SPITZER_I2_46471168_0000_0000_1_bcd.fits",9,15.1186,15.1185,0.0481359,0.000216572,0.0497530,0.000227334,0.0510869,0.000238417,0.0517900,0.000249386,0.0520622,0.000260645,56248.16342551302,0.00174545,0.00134258,4.32817,2.00674,1.96281,8610.56
