bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",0,15.1648,15.0719,0.0476274,0.000218119,0.0493300,0.000229624,0.0506539,0.000241349,0.0513378,0.000253013,0.0516318,0.000265086,56436.44103890000,0.00182886,0.00140566,4.23672,2.04369,1.97803,8723.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",1,15.1634,15.0759,0.0474625,0.000211663,0.0491633,0.000221726,0.0504881,0.000231868,0.0511678,0.000241776,0.0514309,0.000251905,56436.44106167922,0.00198134,0.00123485,4.21428,2.04108,1.98668,8699.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",2,15.1716,15.0650,0.0474589,0.000213526,0.0491951,0.000224084,0.0505354,0.000234728,0.0512207,0.000245172,0.0514998,0.000255896,56436.44108445845,0.00205057,0.00128881,4.22991,2.02260,1.98433,8672.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",3,15.1712,15.0710,0.0478894,0.000212531,0.0496409,0.000222673,0.0509997,0.000232866,0.0517003,0.000242805,0.0519791,0.000252959,56436.44110723767,0.00193029,0.00123958,4.24684,2.02506,1.96097,8710.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",4,15.1671,15.0756,0.0483663,0.000212462,0.0500690,0.000222281,0.0513751,0.000232133,0.0520371,0.000241737,0.0523067,0.000251579,56436.44113001689,0.00202313,0.00121388,4.20701,2.02587,1.97470,8832.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",5,15.1811,15.0650,0.0480270,0.000217403,0.0497773,0.000228619,0.0511039,0.000239948,0.0517896,0.000251176,0.0520843,0.000262775,56436.44115279612,0.00213492,0.00137006,4.25142,2.04606,1.96616,8748.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",6,15.1758,15.0752,0.0479123,0.000217598,0.0496751,0.000228938,0.0510158,0.000240402,0.0516966,0.000251748,0.0519541,0.000263434,56436.44117557535,0.00223383,0.00137989,4.18651,2.03109,1.96917,8814.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",7,15.1656,15.0592,0.0479403,0.000217030,0.0496721,0.000228177,0.0510277,0.000239506,0.0517072,0.000250676,0.0519849,0.000262202,56436.44119835457,0.00193715,0.00136336,4.20471,2.02997,1.96385,8770.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",8,15.1785,15.0595,0.0480486,0.000211000,0.0498469,0.000220777,0.0512158,0.000230497,0.0519125,0.000239890,0.0522067,0.000249478,56436.44122113379,0.00194167,0.00118620,4.19391,2.03123,1.97576,8823.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",9,15.1835,15.0588,0.0477160,0.000216226,0.0494273,0.000227252,0.0506904,0.000238341,0.0513096,0.000249314,0.0515678,0.000260691,56436.44124391302,0.00215233,0.00135211,4.23534,2.03709,1.96474,8683.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",10,15.1963,15.0563,0.0477147,0.000217362,0.0495174,0.000228802,0.0508460,0.000240282,0.0515193,0.000251654,0.0517944,0.000263403,56436.44126669224,0.00214419,0.00138229,4.23290,2.03413,1.98805,8726.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",11,15.1809,15.0464,0.0480484,0.000216251,0.0498266,0.000227243,0.0511740,0.000238311,0.0518375,0.000249188,0.0521178,0.000260430,56436.44128947147,0.00205364,0.00133674,4.22740,2.05570,1.98013,8785.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",12,15.2149,15.0614,0.0476528,0.000211559,0.0494856,0.000221711,0.0507515,0.000231614,0.0513988,0.000241315,0.0516780,0.000251292,56436.44131225069,0.00190685,0.00122331,4.27678,2.04173,1.95468,8607.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",13,15.2110,15.0572,0.0470267,0.000214520,0.0488380,0.000225634,0.0501100,0.000236645,0.0507498,0.000247539,0.0510160,0.000258805,56436.44133502991,0.00211873,0.00133639,4.29451,2.05239,1.95994,8509.56
"ch2/bcd/SPITZER_I2_46468096_0000_0000_1_bcd.fits",14,15.1980,15.0525,0.0476157,0.000211133,0.0494110,0.000221145,0.0507190,0.000231030,0.0513816,0.000240658,0.0516780,0.000250558,56436.44135780914,0.00198860,0.00121215,4.30343,2.04101,1.96849,8597.56
