bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",0,15.1670,15.1064,0.0475297,0.000218994,0.0492200,0.000230716,0.0505068,0.000242639,0.0511718,0.000254549,0.0514592,0.000266903,56436.42203010000,0.00190732,0.00143379,4.36606,2.06245,2.00944,8563.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",1,15.1725,15.1291,0.0479082,0.000211562,0.0496880,0.000221507,0.0510211,0.000231387,0.0517231,0.000241026,0.0520035,0.000250850,56436.42205287923,0.00187959,0.00121062,4.40724,2.02733,1.97031,8507.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",2,15.1743,15.1242,0.0477141,0.000211809,0.0494306,0.000221803,0.0507005,0.000231754,0.0513513,0.000241506,0.0516050,0.000251497,56436.42207565845,0.00190312,0.00122760,4.27989,1.98838,1.95366,8564.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",3,15.1681,15.1148,0.0478066,0.000218072,0.0495259,0.000229497,0.0508155,0.000241052,0.0514787,0.000252556,0.0517317,0.000264432,56436.42209843767,0.00207240,0.00139766,4.38386,2.03241,1.98394,8517.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",4,15.1763,15.1216,0.0478726,0.000212187,0.0495827,0.000222185,0.0508672,0.000232177,0.0515674,0.000242023,0.0518627,0.000252095,56436.42212121690,0.00189118,0.00123082,4.39927,2.04172,1.97211,8498.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",5,15.1658,15.1206,0.0475197,0.000213989,0.0492149,0.000224562,0.0504811,0.000235185,0.0511279,0.000245680,0.0513785,0.000256482,56436.42214399613,0.00202723,0.00129894,4.38237,2.02016,1.96698,8446.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",6,15.1632,15.1130,0.0478325,0.000210436,0.0495621,0.000220066,0.0509001,0.000229698,0.0516110,0.000239066,0.0519016,0.000248590,56436.42216677535,0.00183652,0.00118068,4.39364,2.03294,1.97979,8512.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",7,15.1721,15.1295,0.0476114,0.000219527,0.0493404,0.000231393,0.0506135,0.000243387,0.0512668,0.000255384,0.0515181,0.000267803,56436.42218955457,0.00203809,0.00144413,4.44205,2.04334,1.99108,8421.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",8,15.1635,15.1148,0.0476096,0.000215244,0.0492923,0.000226044,0.0505781,0.000236970,0.0512680,0.000247825,0.0515697,0.000259017,56436.42221233380,0.00195965,0.00133008,4.36451,2.04445,1.97624,8511.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",9,15.1546,15.1282,0.0476165,0.000214466,0.0493174,0.000225114,0.0506264,0.000235877,0.0513089,0.000246504,0.0515756,0.000257415,56436.42223511302,0.00206922,0.00130773,4.38174,2.01062,1.99926,8493.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",10,15.1819,15.1178,0.0476840,0.000211661,0.0494256,0.000221674,0.0507164,0.000231633,0.0514209,0.000241435,0.0517217,0.000251458,56436.42225789225,0.00203111,0.00122474,4.33773,2.03468,1.98201,8563.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",11,15.1543,15.1174,0.0475049,0.000213831,0.0492361,0.000224426,0.0505880,0.000235137,0.0512975,0.000245668,0.0515670,0.000256431,56436.42228067148,0.00200552,0.00129569,4.40162,2.03610,1.97976,8464.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",12,15.1505,15.1123,0.0477550,0.000214077,0.0494433,0.000224544,0.0507628,0.000235145,0.0514537,0.000245588,0.0517405,0.000256312,56436.42230345069,0.00198752,0.00129083,4.36532,2.02653,1.99678,8542.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",13,15.1611,15.1261,0.0476578,0.000209853,0.0493606,0.000219388,0.0506574,0.000228900,0.0513452,0.000238172,0.0516410,0.000247638,56436.42232622992,0.00197157,0.00117158,4.41474,2.02995,1.98748,8462.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",14,15.1656,15.1324,0.0478160,0.000214330,0.0495130,0.000224841,0.0508057,0.000235437,0.0515170,0.000245949,0.0518299,0.000256753,56436.42234900915,0.00199730,0.00129509,4.43240,2.04476,1.98805,8477.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",15,15.1651,15.1178,0.0480829,0.000210605,0.0498332,0.000220188,0.0511572,0.000229711,0.0518301,0.000238930,0.0520949,0.000248322,56436.42237178837,0.00192604,0.00117284,4.42125,2.02081,1.98987,8515.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",16,15.1594,15.1422,0.0476837,0.000216682,0.0494128,0.000227857,0.0507171,0.000239140,0.0513982,0.000250344,0.0516632,0.000261881,56436.42239456760,0.00211920,0.00136591,4.49555,2.04609,1.99943,8382.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",17,15.1624,15.1265,0.0478230,0.000213255,0.0495288,0.000223528,0.0508279,0.000233856,0.0515076,0.000244018,0.0517826,0.000254442,56436.42241734682,0.00202651,0.00126375,4.41165,2.03944,1.96598,8478.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",18,15.1660,15.1155,0.0479155,0.000211921,0.0496411,0.000221860,0.0509566,0.000231807,0.0516545,0.000241545,0.0519525,0.000251509,56436.42244012604,0.00195097,0.00122087,4.39591,2.03368,1.97472,8522.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",19,15.1633,15.1108,0.0479916,0.000215015,0.0497159,0.000225648,0.0510411,0.000236380,0.0517277,0.000246953,0.0519787,0.000257779,56436.42246290527,0.00193675,0.00130607,4.29698,2.03022,1.95847,8637.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",20,15.1404,15.0863,0.0478610,0.000221626,0.0495138,0.000233749,0.0508466,0.000246251,0.0515308,0.000258751,0.0518122,0.000271710,56436.42248568450,0.00220343,0.00148690,4.23505,2.02594,1.99197,8751.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",21,15.1443,15.0883,0.0476594,0.000215066,0.0493428,0.000225813,0.0506999,0.000236791,0.0514103,0.000247615,0.0516850,0.000258709,56436.42250846371,0.00193999,0.00132191,4.23351,2.02829,1.96146,8687.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",22,15.1428,15.0784,0.0478216,0.000216124,0.0495163,0.000227055,0.0508952,0.000238249,0.0516024,0.000249268,0.0518825,0.000260586,56436.42253124294,0.00194267,0.00134406,4.22730,2.03319,1.97434,8735.56
"ch2/bcd/SPITZER_I2_46471680_0000_0000_1_bcd.fits",23,15.1395,15.0699,0.0479152,0.000214977,0.0495939,0.000225569,0.0509822,0.000236436,0.0517082,0.000247106,0.0519995,0.000258031,56436.42255402217,0.00196418,0.00130809,4.23150,2.03511,1.97422,8747.56
