bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",0,15.1548,15.0966,0.0475541,0.000217566,0.0492116,0.000228894,0.0505073,0.000240459,0.0511719,0.000251961,0.0514179,0.000263819,56433.25740650000,0.00179933,0.00139525,4.33559,2.01541,1.97833,8544.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",1,15.1554,15.1036,0.0479079,0.000213489,0.0496132,0.000223771,0.0509475,0.000234164,0.0516439,0.000244359,0.0519176,0.000254789,56433.25742927923,0.00190887,0.00126683,4.28904,2.01065,1.97221,8643.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",2,15.1654,15.0874,0.0478775,0.000219753,0.0495523,0.000231471,0.0508457,0.000243435,0.0515233,0.000255404,0.0518183,0.000267818,56433.25745205845,0.00215436,0.00143820,4.29192,2.03149,1.98897,8674.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",3,15.1634,15.0942,0.0479431,0.000208250,0.0497006,0.000217349,0.0510631,0.000226381,0.0517715,0.000235036,0.0520475,0.000243765,56433.25747483767,0.00192479,0.00110634,4.33934,2.03061,1.98731,8624.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",4,15.1532,15.0987,0.0479581,0.000213348,0.0496321,0.000223522,0.0509629,0.000233849,0.0516794,0.000244008,0.0519637,0.000254380,56433.25749761690,0.00189251,0.00126035,4.21342,2.00857,1.95397,8738.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",5,15.1532,15.0872,0.0478495,0.000213880,0.0494943,0.000224196,0.0507885,0.000234678,0.0514561,0.000245003,0.0517293,0.000255623,56433.25752039612,0.00199893,0.00127983,4.29522,2.02941,1.97760,8636.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",6,15.1546,15.0836,0.0479838,0.000212539,0.0496715,0.000222540,0.0510080,0.000232663,0.0517042,0.000242561,0.0519799,0.000252675,56433.25754317535,0.00189583,0.00123470,4.19549,2.02332,1.95495,8780.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",7,15.1578,15.0830,0.0478446,0.000215867,0.0495458,0.000226743,0.0508736,0.000237789,0.0515386,0.000248676,0.0517910,0.000259884,56433.25756595457,0.00207499,0.00133548,4.20642,2.05342,1.96424,8768.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",8,15.1567,15.0849,0.0477934,0.000218051,0.0494770,0.000229433,0.0507973,0.000241055,0.0514829,0.000252616,0.0517727,0.000264572,56433.25758873380,0.00197140,0.00139665,4.26490,2.02703,1.97936,8676.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",9,15.1558,15.0969,0.0481846,0.000211827,0.0499003,0.000221599,0.0512495,0.000231435,0.0519501,0.000240999,0.0522205,0.000250730,56433.25761151302,0.00196499,0.00120456,4.22493,2.03403,1.97012,8790.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",10,15.1541,15.0911,0.0479742,0.000218005,0.0496739,0.000229311,0.0510260,0.000240870,0.0517557,0.000252370,0.0520692,0.000264221,56433.25763429225,0.00195432,0.00138803,4.27321,2.02535,1.97781,8709.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",11,15.1572,15.0858,0.0480311,0.000211681,0.0497305,0.000221470,0.0510723,0.000231343,0.0517741,0.000240962,0.0520640,0.000250780,56433.25765707147,0.00183143,0.00120752,4.23272,2.02846,1.95441,8737.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",12,15.1497,15.0884,0.0480186,0.000213904,0.0497058,0.000224213,0.0510287,0.000234656,0.0516906,0.000244882,0.0519435,0.000255378,56433.25767985069,0.00192574,0.00127245,4.24397,2.01808,1.97397,8718.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",13,15.1548,15.0903,0.0477759,0.000216584,0.0494551,0.000227620,0.0507807,0.000238876,0.0514729,0.000250032,0.0517591,0.000261532,56433.25770262992,0.00201555,0.00135864,4.25749,2.03283,1.99863,8700.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",14,15.1552,15.0748,0.0479150,0.000216685,0.0496040,0.000227701,0.0509402,0.000238937,0.0516247,0.000250046,0.0518994,0.000261495,56433.25772540914,0.00207622,0.00135464,4.19108,2.01156,1.97428,8792.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",15,15.1692,15.0689,0.0476422,0.000215268,0.0493379,0.000226090,0.0506415,0.000237047,0.0513016,0.000247868,0.0515649,0.000259024,56433.25774818837,0.00200545,0.00132827,4.22068,2.02300,1.96901,8690.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",16,15.1632,15.0791,0.0480802,0.000209363,0.0498211,0.000218637,0.0511713,0.000227878,0.0518559,0.000236754,0.0521128,0.000245740,56433.25777096760,0.00203297,0.00113413,4.22353,2.03040,1.95550,8767.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",17,15.1668,15.0939,0.0479011,0.000218496,0.0496346,0.000230004,0.0509578,0.000241678,0.0516339,0.000253277,0.0518942,0.000265249,56433.25779374682,0.00200912,0.00140427,4.24854,2.02699,1.94855,8687.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",18,15.1542,15.0657,0.0475409,0.000216235,0.0492169,0.000227300,0.0505367,0.000238583,0.0511795,0.000249707,0.0514256,0.000261197,56433.25781652604,0.00209026,0.00135922,4.17632,2.03574,1.96360,8743.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",19,15.1909,15.0756,0.0478524,0.000214808,0.0496308,0.000225544,0.0509284,0.000236246,0.0515824,0.000246786,0.0518559,0.000257661,56433.25783930527,0.00193353,0.00130677,4.27536,2.03736,1.97461,8670.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",20,15.1909,15.0587,0.0477636,0.000209139,0.0495710,0.000218618,0.0509136,0.000227943,0.0516042,0.000236930,0.0518999,0.000246079,56433.25786208449,0.00180122,0.00114449,4.22517,2.03677,1.98058,8717.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",21,15.1911,15.0564,0.0479517,0.000211233,0.0497548,0.000221116,0.0510785,0.000230870,0.0517312,0.000240315,0.0519941,0.000249984,56433.25788486371,0.00199989,0.00119860,4.20184,2.04057,1.96528,8780.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",22,15.1826,15.0505,0.0472924,0.000216714,0.0490402,0.000228114,0.0503462,0.000239609,0.0509789,0.000250971,0.0512207,0.000262724,56433.25790764294,0.00209057,0.00138361,4.21133,2.05994,1.96140,8661.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",23,15.1857,15.0589,0.0477266,0.000212443,0.0494743,0.000222631,0.0507828,0.000232800,0.0514416,0.000242737,0.0517230,0.000252956,56433.25793042217,0.00201705,0.00124547,4.22523,2.04317,1.98663,8719.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",24,15.1943,15.0570,0.0477417,0.000220239,0.0495279,0.000232303,0.0508269,0.000244456,0.0514766,0.000256582,0.0517381,0.000269165,56433.25795320139,0.00199416,0.00145646,4.22411,2.03125,1.93979,8683.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",25,15.1718,15.0485,0.0478497,0.000218371,0.0495651,0.000229850,0.0508855,0.000241524,0.0515429,0.000253102,0.0518206,0.000265106,56433.25797598062,0.00207372,0.00140266,4.17385,2.01016,1.96794,8789.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",26,15.1709,15.0576,0.0480672,0.000217199,0.0497941,0.000228317,0.0511254,0.000239590,0.0517955,0.000250730,0.0520660,0.000262228,56433.25799875984,0.00212071,0.00136224,4.19629,2.03751,1.97226,8823.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",27,15.1683,15.0524,0.0478243,0.000217469,0.0495468,0.000228757,0.0508753,0.000240216,0.0515247,0.000251532,0.0517889,0.000263243,56433.25802153906,0.00205002,0.00138032,4.17951,2.01794,1.97786,8782.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",28,15.1719,15.0470,0.0474232,0.000220113,0.0491532,0.000232214,0.0504823,0.000244547,0.0511463,0.000256838,0.0514381,0.000269616,56433.25804431829,0.00204120,0.00146596,4.18992,2.06164,1.97804,8743.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",29,15.1917,15.0347,0.0476381,0.000219574,0.0494236,0.000231544,0.0507483,0.000243636,0.0513932,0.000255649,0.0516638,0.000268135,56433.25806709751,0.00206367,0.00144259,4.22851,2.04006,1.96483,8687.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",30,15.1937,15.0375,0.0475140,0.000219081,0.0492963,0.000230990,0.0506071,0.000242998,0.0512494,0.000254937,0.0515267,0.000267355,56433.25808987673,0.00206296,0.00143510,4.20672,2.03723,1.98243,8705.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",31,15.2063,15.0355,0.0478783,0.000218230,0.0496822,0.000229802,0.0509691,0.000241369,0.0515972,0.000252847,0.0518662,0.000264780,56433.25811265596,0.00223701,0.00139769,4.24890,2.06264,1.97244,8726.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",32,15.2123,15.0184,0.0473254,0.000210732,0.0491814,0.000220896,0.0504964,0.000230845,0.0511297,0.000240490,0.0514165,0.000250446,56433.25813543519,0.00191679,0.00121396,4.27037,2.06058,1.96273,8595.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",33,15.2234,15.0179,0.0472979,0.000217153,0.0491815,0.000228871,0.0504656,0.000240440,0.0510599,0.000251871,0.0513108,0.000263777,56433.25815821441,0.00203939,0.00139449,4.22863,2.04313,1.97422,8631.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",34,15.2084,15.0150,0.0474359,0.000217700,0.0492898,0.000229439,0.0505950,0.000241121,0.0512012,0.000252661,0.0514598,0.000264681,56433.25818099364,0.00205805,0.00140238,4.27070,2.05821,1.96882,8616.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",35,15.1884,15.0040,0.0476236,0.000214903,0.0494593,0.000225870,0.0508370,0.000236844,0.0514763,0.000247527,0.0517567,0.000258593,56433.25820377286,0.00204310,0.00131905,4.20683,2.05724,1.98821,8757.56
"ch2/bcd/SPITZER_I2_46468352_0000_0000_1_bcd.fits",36,15.1957,15.0165,0.0474870,0.000221336,0.0492962,0.000233816,0.0505991,0.000246389,0.0512059,0.000258912,0.0514681,0.000271995,56433.25822655208,0.00209917,0.00149375,4.17204,2.03992,1.96194,8728.56
