bcdname,framenum,xcen,ycen,flux_2,fluxerr_2,flux_2p25,fluxerr_2p25,flux_2p5,fluxerr_2p5,flux_2p75,fluxerr_2p75,flux_3,fluxerr_3,BMJD,bkgd,bkgderr,np,xfwhm,yfwhm,peakpixDN
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",0,15.1609,15.0659,0.0473037,0.000209614,0.0490185,0.000219287,0.0503611,0.000228998,0.0510368,0.000238387,0.0512997,0.000247954,56404.53290490000,0.00147265,0.00118223,4.20514,2.03366,1.96190,8676.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",1,15.1652,15.0498,0.0479078,0.000215146,0.0496214,0.000225842,0.0509573,0.000236682,0.0516155,0.000247318,0.0518824,0.000258285,56404.53292767923,0.00173106,0.00131265,4.18117,2.00888,1.97375,8789.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",2,15.1642,15.0628,0.0479547,0.000222177,0.0496805,0.000234502,0.0510206,0.000247111,0.0516943,0.000259706,0.0519680,0.000272779,56404.53295045845,0.00179791,0.00149645,4.23602,2.00932,1.96719,8731.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",3,15.1549,15.0574,0.0476892,0.000218543,0.0493903,0.000230115,0.0507429,0.000241960,0.0513988,0.000253668,0.0516371,0.000265760,56404.53297323767,0.00190190,0.00141414,4.20639,2.02710,1.97773,8735.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",4,15.1515,15.0527,0.0479146,0.000221671,0.0496145,0.000233852,0.0509675,0.000246365,0.0516347,0.000258822,0.0519012,0.000271742,56404.53299601690,0.00182524,0.00148585,4.20518,2.03662,1.97282,8783.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",5,15.1429,15.0588,0.0481122,0.000212572,0.0497970,0.000222510,0.0511682,0.000232623,0.0518659,0.000242450,0.0521442,0.000252487,56404.53301879612,0.00162962,0.00122979,4.18434,2.01789,1.95457,8802.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",6,15.1555,15.0535,0.0480852,0.000217221,0.0498068,0.000228333,0.0511687,0.000239657,0.0518353,0.000250798,0.0521064,0.000262307,56404.53304157535,0.00184916,0.00136152,4.16572,2.03913,1.97666,8873.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",7,15.1547,15.0430,0.0480750,0.000214963,0.0497854,0.000225528,0.0511447,0.000236264,0.0518089,0.000246754,0.0520763,0.000257553,56404.53306435457,0.00171254,0.00130025,4.08745,2.02338,1.96794,8947.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",8,15.1672,15.0402,0.0478084,0.000218119,0.0495592,0.000229615,0.0509322,0.000241320,0.0515905,0.000252845,0.0518505,0.000264766,56404.53308713379,0.00180583,0.00139779,4.13587,2.01993,1.95329,8831.56
"ch2/bcd/SPITZER_I2_46469120_0000_0000_1_bcd.fits",9,15.1530,15.0420,0.0476908,0.000213056,0.0494090,0.000223364,0.0507765,0.000233811,0.0514248,0.000243937,0.0516669,0.000254327,56404.53310991302,0.00181336,0.00126440,4.21759,2.03645,1.97662,8724.56
